com.samsung.shealth.step_daily_trend,6188005,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
a597ac56-7240-4014-ad5e-2c44ac008423.binning_data.json,2019-11-09 01:07:49.571,2019-11-08 01:49:42.373,com.sec.android.app.shealth,-2,4956,1.5459968,3807.6897,204.44421,VfS0qUERdZ,com.sec.android.app.shealth,a597ac56-7240-4014-ad5e-2c44ac008423,1573171200000,
1c7efae9-6f05-43b6-8149-17d0de0e8b3d.binning_data.json,2019-06-29 23:55:08.580,2019-06-29 00:39:01.405,com.sec.android.app.shealth,-2,9480,1.4794375,7083.9365,355.69855,VfS0qUERdZ,com.sec.android.app.shealth,1c7efae9-6f05-43b6-8149-17d0de0e8b3d,1561766400000,
2d2baae2-c58e-443a-ab2d-a7f8c9d33cf4.binning_data.json,2019-12-17 21:35:59.531,2019-12-16 23:01:33.155,com.sec.android.app.shealth,-2,5863,1.5689172,4575.514,233.5683,VfS0qUERdZ,com.sec.android.app.shealth,2d2baae2-c58e-443a-ab2d-a7f8c9d33cf4,1576540800000,
71f373db-bc01-46e6-bf0e-37af62da99a7.binning_data.json,2019-07-22 22:00:01.101,2019-07-22 22:00:01.101,com.sec.android.app.shealth,0,13427,4.70551,10330.173,478.73227,dNgkxZR9yp,com.sec.android.app.shealth,71f373db-bc01-46e6-bf0e-37af62da99a7,1563753600000,
300aff7b-8e05-4377-81ea-39356160c359.binning_data.json,2019-09-19 23:35:06.999,2019-09-19 03:20:59.369,com.sec.android.app.shealth,18,16857,2.2117434,12301.059,645.922,AumAWJiKT9,com.sec.android.app.shealth,300aff7b-8e05-4377-81ea-39356160c359,1568851200000,
17255a17-d2cf-4218-843a-cf28dd5610e3.binning_data.json,2019-11-01 23:00:01.575,2019-11-01 23:00:01.575,com.sec.android.app.shealth,0,411,1.6568831,318.3263,14.5818205,dNgkxZR9yp,com.sec.android.app.shealth,17255a17-d2cf-4218-843a-cf28dd5610e3,1572566400000,
4b1bcbf7-206e-43e8-819b-630289b3ac6f.binning_data.json,2019-10-02 05:33:22.179,2019-10-01 05:13:51.886,com.sec.android.app.shealth,18,16896,6.611111,12625.17,675.16437,AumAWJiKT9,com.sec.android.app.shealth,4b1bcbf7-206e-43e8-819b-630289b3ac6f,1569888000000,
a39846e3-e865-48e5-8c04-bff2def86507.binning_data.json,2019-07-27 22:00:01.156,2019-07-27 22:00:01.156,com.sec.android.app.shealth,0,4878,3.9570565,3882.175,179.27011,dNgkxZR9yp,com.sec.android.app.shealth,a39846e3-e865-48e5-8c04-bff2def86507,1564185600000,
c900c3de-b0b8-42ff-a6cd-d76b9c6e4d83.binning_data.json,2019-11-12 23:00:11.527,2019-11-12 23:00:11.527,com.sec.android.app.shealth,0,8608,4.389437,6858.0454,314.28726,dNgkxZR9yp,com.sec.android.app.shealth,c900c3de-b0b8-42ff-a6cd-d76b9c6e4d83,1573516800000,
eaaf4a9f-584e-46dc-b824-671df8a21f54.binning_data.json,2019-12-15 23:00:37.977,2019-12-15 23:00:37.977,com.sec.android.app.shealth,0,1845,2.1233308,1440.7222,65.533745,dNgkxZR9yp,com.sec.android.app.shealth,eaaf4a9f-584e-46dc-b824-671df8a21f54,1576368000000,
